縣市,區,測站1,代號1,測站2,代號2,測站3,代號3,測站4,代號4,測站5,代號5,測站6,代號6,測站7,代號7,測站8,代號8,測站9,代號9
基隆市,安樂區,基隆,1,萬里,3,,,,,,,,,,,,,,
基隆市,中山區,基隆,1,萬里,3,,,,,,,,,,,,,,
基隆市,中正區,基隆,1,萬里,3,,,,,,,,,,,,,,
基隆市,信義區,基隆,1,萬里,3,,,,,,,,,,,,,,
基隆市,仁愛區,基隆,1,萬里,3,,,,,,,,,,,,,,
基隆市,暖暖區,基隆,1,,,,,,,,,,,,,,,,
新北市,瑞芳區,基隆,1,,,,,,,,,,,,,,,,
基隆市,七堵區,汐止,2,,,,,,,,,,,,,,,,
臺北市,南港區,汐止,2,松山,15,,,,,,,,,,,,,,
新北市,汐止區,汐止,2,,,,,,,,,,,,,,,,
新北市,金山區,萬里,3,,,,,,,,,,,,,,,,
新北市,萬里區,萬里,3,,,,,,,,,,,,,,,,
臺北市,文山區,新店,4,古亭,14,,,,,,,,,,,,,,
新北市,新店區,新店,4,,,,,,,,,,,,,,,,
新北市,土城區,土城,5,新北(樹林),311,板橋,6,,,,,,,,,,,,
新北市,板橋區,板橋,6,新莊,7,土城,5,,,,,,,,,,,,
新北市,新莊區,新莊,7,新北(樹林),311,板橋,6,菜寮,8,,,,,,,,,,
新北市,三重區,菜寮,8,三重,67,大同,16,中山,12,萬華,13,林口,9,,,,,,
新北市,林口區,林口,9,,,,,,,,,,,,,,,,
新北市,泰山區,林口,9,新莊,7,,,,,,,,,,,,,,
新北市,淡水區,淡水,10,,,,,,,,,,,,,,,,
新北市,八里區,淡水,10,林口,9,,,,,,,,,,,,,,
臺北市,北投區,士林,11,淡水,10,陽明,64,,,,,,,,,,,,
臺北市,士林區,士林,11,淡水,10,,,,,,,,,,,,,,
臺北市,中山區,中山,12,萬華,13,大同,16,松山,15,士林,11,汐止,2,,,,,,
臺北市,中正區,萬華,13,大同,16,中山,12,古亭,14,永和,70,,,,,,,,
臺北市,萬華區,萬華,13,永和,70,古亭,14,大同,16,板橋,6,,,,,,,,
臺北市,大安區,古亭,14,永和,70,萬華,13,大同,16,中山,12,新店,4,松山,15,,,,
臺北市,內湖區,松山,15,汐止,2,,,,,,,,,,,,,,
臺北市,松山區,松山,15,古亭,14,中山,12,萬華,13,永和,70,汐止,2,,,,,,
臺北市,信義區,松山,15,古亭,14,,,,,,,,,,,,,,
臺北市,大同區,大同,16,三重,67,菜寮,8,中山,12,萬華,13,,,,,,,,
桃園市,龜山區,桃園,17,林口,9,,,,,,,,,,,,,,
桃園市,八德區,桃園,17,平鎮,20,中壢,68,龍潭,21,新北(樹林),311,,,,,,,,
桃園市,大園區,大園,18,觀音,19,平鎮,20,中壢,68,,,,,,,,,,
桃園市,蘆竹區,大園,18,桃園,17,平鎮,20,中壢,68,林口,9,,,,,,,,
桃園市,桃園區,大園,18,平鎮,20,中壢,68,新北(樹林),311,,,,,,,,,,
桃園市,中壢區,大園,18,觀音,19,桃園,17,平鎮,20,中壢,68,龍潭,21,,,,,,
桃園市,觀音區,觀音,19,大園,18,平鎮,20,中壢,68,,,,,,,,,,
桃園市,新屋區,觀音,19,湖口,22,平鎮,20,中壢,68,,,,,,,,,,
桃園市,平鎮區,平鎮,20,中壢,68,龍潭,21,,,,,,,,,,,,
桃園市,大溪區,龍潭,21,桃園,17,平鎮,20,中壢,68,,,,,,,,,,
桃園市,龍潭區,龍潭,21,平鎮,20,中壢,68,,,,,,,,,,,,
桃園市,楊梅區,湖口,22,平鎮,20,中壢,68,龍潭,21,,,,,,,,,,
新竹縣,湖口鄉,湖口,22,新竹,24,,,,,,,,,,,,,,
新竹縣,竹北市,湖口,22,新竹,24,竹東,23,,,,,,,,,,,,
新竹縣,新埔鎮,竹東,23,新竹,24,湖口,22,龍潭,21,,,,,,,,,,
新竹縣,關西鎮,竹東,23,龍潭,21,,,,,,,,,,,,,,
新竹縣,芎林鄉,竹東,23,,,,,,,,,,,,,,,,
新竹縣,竹東鎮,竹東,23,新竹,24,,,,,,,,,,,,,,
新竹縣,寶山鄉,竹東,23,新竹,24,頭份,25,,,,,,,,,,,,
新竹縣,橫山鄉,竹東,23,,,,,,,,,,,,,,,,
新竹縣,北埔鄉,竹東,23,,,,,,,,,,,,,,,,
新竹縣,峨眉鄉,竹東,23,頭份,25,,,,,,,,,,,,,,
新竹市,北區,新竹,24,,,,,,,,,,,,,,,,
新竹市,香山區,新竹,24,頭份,25,,,,,,,,,,,,,,
新竹市,東區,新竹,24,竹東,23,,,,,,,,,,,,,,
新竹縣,新豐鄉,新竹,24,湖口,22,,,,,,,,,,,,,,
苗栗縣,竹南鎮,頭份,25,,,,,,,,,,,,,,,,
苗栗縣,頭份市,頭份,25,,,,,,,,,,,,,,,,
苗栗縣,三灣鄉,頭份,25,,,,,,,,,,,,,,,,
苗栗縣,造橋鄉,苗栗,26,頭份,25,,,,,,,,,,,,,,
苗栗縣,後龍鎮,苗栗,26,,,,,,,,,,,,,,,,
苗栗縣,頭屋鄉,苗栗,26,,,,,,,,,,,,,,,,
苗栗縣,苗栗市,苗栗,26,,,,,,,,,,,,,,,,
苗栗縣,西湖鄉,苗栗,26,,,,,,,,,,,,,,,,
苗栗縣,公館鄉,苗栗,26,,,,,,,,,,,,,,,,
苗栗縣,通霄鎮,三義,27,,,,,,,,,,,,,,,,
苗栗縣,銅鑼鄉,三義,27,苗栗,26,,,,,,,,,,,,,,
苗栗縣,苑裡鎮,三義,27,,,,,,,,,,,,,,,,
苗栗縣,大湖鄉,三義,27,,,,,,,,,,,,,,,,
苗栗縣,三義鄉,三義,27,,,,,,,,,,,,,,,,
苗栗縣,卓蘭鎮,三義,27,,,,,,,,,,,,,,,,
臺中市,大甲區,三義,27,忠明,31,西屯,32,,,,,,,,,,,,
臺中市,北屯區,豐原,28,忠明,31,西屯,32,大里,30,,,,,,,,,,
臺中市,外埔區,豐原,28,三義,27,,,,,,,,,,,,,,
臺中市,后里區,豐原,28,三義,27,,,,,,,,,,,,,,
臺中市,東勢區,豐原,28,,,,,,,,,,,,,,,,
臺中市,神岡區,豐原,28,沙鹿,29,,,,,,,,,,,,,,
臺中市,石岡區,豐原,28,,,,,,,,,,,,,,,,
臺中市,豐原區,豐原,28,,,,,,,,,,,,,,,,
臺中市,新社區,豐原,28,,,,,,,,,,,,,,,,
臺中市,潭子區,豐原,28,,,忠明,31,西屯,32,,,,,,,,,,
臺中市,西屯區,沙鹿,29,忠明,31,西屯,32,,,,,,,,,,,,
臺中市,南屯區,沙鹿,29,忠明,31,西屯,32,大里,30,,,,,,,,,,
臺中市,大安區,沙鹿,29,三義,27,,,,,,,,,,,,,,
臺中市,清水區,沙鹿,29,,,,,,,,,,,,,,,,
臺中市,龍井區,沙鹿,29,忠明,31,西屯,32,線西,34,,,,,,,,,,
臺中市,梧棲區,沙鹿,29,,,,,,,,,,,,,,,,
臺中市,沙鹿區,沙鹿,29,忠明,31,西屯,32,,,,,,,,,,,,
臺中市,大雅區,沙鹿,29,豐原,28,忠明,31,西屯,32,,,,,,,,,,
臺中市,西區,大里,30,忠明,31,西屯,32,,,,,,,,,,,,
臺中市,太平區,大里,30,沙鹿,29,忠明,31,西屯,32,,,,,,,,,,
臺中市,烏日區,大里,30,忠明,31,西屯,32,彰化,33,,,,,,,,,,
臺中市,大里區,大里,30,,,,,,,,,,,,,,,,
臺中市,霧峰區,大里,30,,,,,,,,,,,,,,,,
臺中市,北區,忠明,31,西屯,32,大里,30,,,,,,,,,,,,
臺中市,東區,忠明,31,西屯,32,大里,30,,,,,,,,,,,,
臺中市,中區,忠明,31,西屯,32,大里,30,,,,,,,,,,,,
臺中市,南區,忠明,31,西屯,32,大里,30,,,,,,,,,,,,
臺中市,大肚區,忠明,31,西屯,32,沙鹿,29,線西,34,彰化,33,,,,,,,,
彰化縣,彰化市,彰化,33,忠明,31,西屯,32,大里,30,線西,34,,,,,,,,
彰化縣,秀水鄉,彰化,33,線西,34,,,,,,,,,,,,,,
彰化縣,花壇鄉,彰化,33,,,,,,,,,,,,,,,,
彰化縣,芬園鄉,彰化,33,大里,30,南投,36,,,,,,,,,,,,
彰化縣,大春鄉,彰化,33,,,,,,,,,,,,,,,,
彰化縣,伸港鄉,線西,34,沙鹿,29,彰化,33,,,,,,,,,,,,
彰化縣,和美鎮,線西,34,彰化,33,,,,,,,,,,,,,,
彰化縣,線西線,線西,34,彰化,33,,,,,,,,,,,,,,
彰化縣,鹿港鎮,線西,34,,,,,,,,,,,,,,,,
彰化縣,福興鄉,二林,35,彰化,33,,,,,,,,,,,,,,
彰化縣,芳苑鄉,二林,35,彰化(大城),202,,,,,,,,,,,,,,
彰化縣,埔鹽鄉,二林,35,彰化,33,,,,,,,,,,,,,,
彰化縣,二林鎮,二林,35,彰化(大城),202,,,,,,,,,,,,,,
彰化縣,溪湖鎮,二林,35,,,,,,,,,,,,,,,,
彰化縣,埔心鄉,二林,35,,,,,,,,,,,,,,,,
彰化縣,永靖鄉,二林,35,,,,,,,,,,,,,,,,
彰化縣,埤頭鄉,二林,35,,,,,,,,,,,,,,,,
彰化縣,田尾鄉,二林,35,,,,,,,,,,,,,,,,
彰化縣,竹塘鄉,二林,35,,,,,,,,,,,,,,,,
彰化縣,員林市,南投,36,,,,,,,,,,,,,,,,
彰化縣,社頭鄉,南投,36,,,,,,,,,,,,,,,,
彰化縣,田中鎮,南投,36,,,,,,,,,,,,,,,,
南投縣,草屯鎮,南投,36,,,,,,,,,,,,,,,,
南投縣,南投市,南投,36,,,,,,,,,,,,,,,,
南投縣,名間鄉,南投,36,竹山,69,,,,,,,,,,,,,,
雲林縣,西螺鎮,斗六,37,崙背,38,,,,,,,,,,,,,,
雲林縣,莿桐鄉,斗六,37,,,,,,,,,,,,,,,,
雲林縣,林內鄉,斗六,37,竹山,69,,,,,,,,,,,,,,
雲林縣,斗南鎮,斗六,37,,,,,,,,,,,,,,,,
雲林縣,古坑鄉,斗六,37,,,,,,,,,,,,,,,,
雲林縣,斗六市,斗六,37,,,,,,,,,,,,,,,,
雲林縣,二崙鄉,崙背,38,彰化(大城),202,,,,,,,,,,,,,,
雲林縣,崙背鄉,崙背,38,彰化(大城),202,麥寮,83,,,,,,,,,,,,
雲林縣,土庫鎮,崙背,38,,,,,,,,,,,,,,,,
雲林縣,虎尾鎮,崙背,38,斗六,37,,,,,,,,,,,,,,
雲林縣,褒忠鄉,崙背,38,麥寮,83,臺西,41,,,,,,,,,,,,
雲林縣,元長鄉,崙背,38,麥寮,83,新港,39,,,,,,,,,,,,
雲林縣,大埤鄉,新港,39,,,,,,,,,,,,,,,,
雲林縣,北港鎮,新港,39,朴子,40,,,,,,,,,,,,,,
雲林縣,水林鄉,新港,39,朴子,40,,,,,,,,,,,,,,
嘉義縣,大林鎮,新港,39,斗六,37,,,,,,,,,,,,,,
嘉義縣,溪口鄉,新港,39,,,,,,,,,,,,,,,,
嘉義縣,新港鄉,新港,39,嘉義,42,朴子,40,,,,,,,,,,,,
嘉義縣,民雄鄉,新港,39,嘉義,42,,,,,,,,,,,,,,
雲林縣,口湖鄉,朴子,40,,,,,,,,,,,,,,,,
嘉義縣,六腳鄉,朴子,40,新港,39,,,,,,,,,,,,,,
嘉義縣,東石鄉,朴子,40,,,,,,,,,,,,,,,,
